1022,South Italian,italien du sud,napolitano-calabrés,Italy,ITA,nap,Vulnerable,Neapolitan; Neapolitan-Calabrese; неаполитанский; неаполитанско-калабрийский,,7500000,,40.9798,15.249,"Campania, Lucania (Basilicata), Abruzzi (Abruzzo), Molise, northern Calabria, northern and central Apulia (Puglia), southern Lazio and Marche as well as easternmost Umbria",Indo-European
﻿ID,EngName,FrenchName,SpanishName,Countries,Country codes alpha 3,ISO639-3Code,DegreeEndangerment,AlternateNames,NameInLanguage,NumSpeakers,Sources,Latitude,Longitude,LocationDescription,TopLevelFamily
1023,Sicilian,sicilien,siciliano,Italy,ITA,scn,Vulnerable,,,5000000,,37.4399,14.5019,"Sicily (Sicilia), southern and central Calabria and southern Apulia (Puglia); a large number of émigré communities",Indo-European
383,Low Saxon,bas-saxon,bajo sajón,"Germany, Denmark, Netherlands, Poland, Russian Federation","DEU, DNK, NLD, POL, RUS","act, drt, frs, gos, nds, sdz, stl, twd, vel, wep",Vulnerable,"Low German, Niedersächsisch, Nedersaksisch, Niederdeutsch, Plattdeutsch ",Neddersassisch,4800000,,53.4029,10.3601,"northern Germany, the north-eastern part of the Netherlands, border regions of Denmark and Poland; émigré communities in the Russian Federation and elsewhere",Indo-European
335,Belarusian,biélorusse,bielorruso,"Belarus, Latvia, Lithuania, Poland, Russian Federation, Ukraine","BRB, LVA, LTU, POL, RUS, UKR",bel,Vulnerable,,,4000000,"Hienadź Cychun: Weißrussisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Miloš Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 563–579.",53.956,27.5756,Belarus except the Polesian-speaking south-west as well as adjacent regions of neighbouring countries,Indo-European
382,Lombard,lombard,lombardo,"Italy, Switzerland","ITA, CHE",lmo,Definitely endangered,,,3500000,,45.7215,9.3273,"the region of Lombardy (except the southernmost border areas) and the Novara province in Piedmont, Italy; Ticino Canton and the Mesolcina District and two districts south of St. Moritz in Graubünden (Grigioni), Switzerland",Indo-European
405,Romani,romani,romaní,"Albania, Germany, Austria, Belarus, Bosnia and Herzegovina, Bulgaria, Croatia, Estonia, Finland, France, Greece, Hungary, Italy, Latvia, Lithuania, The former Yugoslav Republic of Macedonia, Netherlands, Poland, Romania, United Kingdom of Great Britain and Northern Ireland, Russian Federation, Slovakia, Slovenia, Switzerland, Czech Republic, Turkey, Ukraine, Serbia, Montenegro","ALB, DEU, AUT, BRB, BIH, BGR, HRV, EST, FIN, FRA, GRC, HUN, ITA, LVA, LTU, MKD, NLD, POL, ROU, GBR, RUS, SVK, SVN, CHE, CZE, TUR, UKR, SRB, MNE","rmc, rmf, rml, rmn, rmo, rmw, rmy",Definitely endangered,"sinti, vlax,  calò",,3500000,"Yaron Matras: Romani: a linguistic introduction. Cambridge: Cambridge University Press,  2002.",46.3165,22.3681,"many European countries, most densely in East-Central and Eastern Europe and in the Balkans",Indo-European
2211,Yiddish (Israel),yiddish (Israël),yiddish (Israel),Israel,ISR,ydd,Definitely endangered,Judeo-German,,3000000,"Neil G. Jacobs: Yiddish: a linguistic introduction. Cambridge: Cambridge University Press, 2005.",32.0833,34.8333,"most speakers now live outside Europe, mainly in North America and Israel; cf. Yiddish (Europe)",Indo-European
1586,Gondi,gondi,gondí,India,IND,gon,Vulnerable,"Gondi; Gaudi; Gondiva; Gondwadi; Goondile; Goudwal; Ghond; Godi; Gondu; Goudi
",,2713790,,19.5804,80.4418,"Madhya Pradesh (Betul, Chhindwara, Seoni, Mandla, Balaghat), Maharashtra (Amravati, Wardha, Nagpur, Bhandara, Yavatmal); also in Andhra Pradesh and Orissa",Dravidian
1020,Limburgian-Ripuarian,francique ripuaire -limbourgeois,limburgués-ripuarino,"Germany, Belgium, Netherlands","DEU, BEL, NLD","ksh, lim",Vulnerable,Colognian (dialect; in German: Kölsch),,2600000,,50.7781,6.0864,Limburg provinces in Belgium and the Netherlands and Rhineland in Germany,Indo-European
1943,Quechua of Southern Bolivia,quechua bolivien du sud,quechua boliviano meridional,Bolivia (Plurinational State of),BOL,quh,Vulnerable,,,2300000,,-18.0675,-65.7641,"Departments of Cochabamba, Chuquisaca, Potosí and Oruro in Bolivia.",Quechuan
1565,Kumaoni,kumaoni,cumauní,"India, Nepal","IND, NPL",kfy,Vulnerable,Kumauni; Kamaoni; Kumau; Kumawani; Kumgoni,,2003783,,29.4778,79.8486,"Uttarakhand, also in Uttar Pradesh, Madhya Pradesh, Assam and Bihar; also in Nepal",Indo-European
